Thawte Code Signing CA	2b5a383157efc7cd2617ef32f0a7acb9	NHN USA Inc.	2011-06-17	2014-08-12	adhoc
Thawte Code Signing CA - G2	028e1deccf93d38ecf396118dfe908b4	Fortuna Games Co., Ltd.	2014-02-05	2014-08-12	adhoc
Thawte Code Signing CA - G2	4f8b9a1ba5e60c754dbb40ddee7905e2	NOX Entertainment Co., Ltd	2012-09-26	2014-08-12	adhoc
Thawte Code Signing CA - G2	566258224be2966e32660bfa22f6a4bc	Gameforge Productions GmbH	2011-03-04	2014-08-12	adhoc
Thawte Code Signing CA - G2	6e7cc176062d91225cfdcbdf5b5f0ea5	SG Internet	2012-04-02	2014-08-12	adhoc
VeriSign Class 3 Code Signing 2004 CA	739a73c1864ae27d7d9cdcf7055888e4	LAVALYS	2010-03-31	2014-09-01	feedscan
VeriSign Class 3 Code Signing 2010 CA	112149475c70984832284efd4da94fff	ZerodinGames Co.,Ltd	2012-06-22	2014-08-12	adhoc
VeriSign Class 3 Code Signing 2010 CA	1fc6ad26672cba136e6b00334840ca37	JANDER PINTO DA SILVA	2013-09-13	2014-04-02	symclass
VeriSign Class 3 Code Signing 2010 CA	498d39073db5da704af2ac30cf4090dc	high1 entertainment	2012-03-17	2014-08-12	adhoc
VeriSign Class 3 Code Signing 2010 CA	1bf449bbb2f0f19ac8cdf2beb39ab9c2	IQ Technology Inc.	2015-03-26	2015-07-08	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	1eb0f4d821e239ba81b3d10e61b7615b	Guangxi Nanning Shengtai'an E-Business Development CO.LTD	2015-03-11	2015-06-23	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	228969A8ED9F8E2AB8B68C804BB8E1B5	INFORMATICA 68, S.A.	2011-12-08	2011-12-08	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	32dfbeb9914de39e73a0e7b35976d09e	Shanghai Holdfast Online Information Technology Co. Ltd.	2012-08-14	2012-10-22	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	4261300af5254b751250b0cdbda6ce61	WhiteSmoke Inc	2010-09-17	2014-09-22	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	46b924ea760cb299f3ceb6cd30992d70	PNP SECURE, INC.	2014-10-22	2015-02-05	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	538f5ac19219a738efbf609499adc7e3	Guangzhou Kugou Computer Technology Co., Ltd.	2012-02-02	2012-02-02	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	56ed3ce67ed5492a8a92f257ccc586cb	JANDER PINTO DA SILVA	2014-12-05	2015-05-11	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5755e9ee627bc905c2464728884da11b	Fasoo.com, Inc	2013-07-09	2013-10-16	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5e3d76dc7e273e2f313fc0775847a2a2	NexG	2014-05-06	2014-05-12	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	643d107d2355d8355adae115b87315bf	HANCOM. INC,	2012-07-26	2012-10-12	Round 1 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	654b406de388ec2aec253ff2ba4c4bbd	Yijiajian (Amoy) Jiankan Tech Co.,LTD.	2014-06-17	2015-01-16	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6878c7d395192f067c7fd08152c8824b	shanghai xin hao yi software Co., Ltd	2012-07-16	2014-06-26	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	695605ff0bc8ec4d3f39049bf48ded26	Yijiajian (Amoy) Jiankan Tech Co.,LTD.	2014-08-31	2015-01-16	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6e7b6395ac5b5c8a2aecc4528d9e6510	CZ Solution Co., Ltd.	2013-05-30	2013-05-30	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6ee36ef0c99fa183fd288db3fa4b6116	Wuhan Century Mengke Network Technology Co., Ltd	2013-09-06	2015-03-03	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	730fcd851f607fc42ed72447d10ed84a	Guangzhou Shibei Information Technology Co., Ltd.	2015-01-19	2015-01-19	Round 1 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	75bf24911d0deaa1302738f5948159b1	VIDEO TECH PRODUCOES LTDA - ME	2013-07-02	2013-09-25	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	7d3250b27e0547c77307030491b42802	Banco do Brasil S.A.	2014-09-17	2015-02-05	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	454c936fbc51da40868fe2ab4727b946	ClientConnect LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
Symantec Class 3 SHA256 Code Signing CA	12a6fd0b37b9c113f37d28954e635514	ClientConnect LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5a60d12bc8ffd4afae161fa04715cbc4	ClientConnect LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
Symantec Class 3 SHA256 Code Signing CA	552491364dfd4261c3c5d20f5503f94c	ClientConnet LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	173d1f00e27a9d60265b3ab0b87f2ed8	ClientConnet LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	357fa61d34f8ae335cf8503cc5025801	ClientConnet LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	35e738ae8513757eeec7c3a8dc10e470	JDI BACKUP LIMITED	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	391be08ad60c2810187d12419bf289d9	LLC Mail.Ru	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5662a49b284b082454dbb9d08d6e1098	Greentree Applications SRL	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6ffc263a351134194cf16e1e6d0e0806	OpenCandy Inc.	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	2b686c5ce679f83d7d472226968edf2f	AntiSpyware LLC	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	201c61613e36ef7dd163280196cd80f7	ClientConnect LTD	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	3a82654719d8f75b59134f7b66465210	Conduit Ltd.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	3736da15af647632cce61cd41b6577dd	Conduit Ltd.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	0d8d6a63396d197575990a769c1cc0c5	PC Cleaners Inc.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
